card_name,set_name,number,release_date,recent_price,old_price,trend_pct,recent_volume,avg_volume,volatility,profit_margin,roi_pct,buy_price,label
Mega Kangaskhan ex 164/132,,,,8.06,0.0,0,187,6.5576923076923075,2624.420788979336,-19.399999999999995,-19.399999999999995,10.0,HOLD
Acerola's Mischief 165/132,,,,4.37,0.0,0,181,6.923076923076923,2774.813233724653,-56.3,-56.3,10.0,HOLD
Air Balloon 166/132,,,,7.21,0.0,0,268,9.923076923076923,2623.230240549828,-27.900000000000002,-27.900000000000002,10.0,HOLD
Buddy-Buddy Poffin 167/132,,,,8.75,0.0,0,261,10.192307692307692,2673.625763464742,-12.5,-12.5,10.0,HOLD
Fighting Gong 168/132,,,,7.07,0.0,0,254,9.961538461538462,2811.176088369071,-29.299999999999997,-29.299999999999997,10.0,HOLD
Lillie's Determination 169/132,,,,33.23,0.0,0,208,9.057692307692308,1845.4730507124527,232.29999999999995,232.29999999999995,10.0,SELL
Lt. Surge's Bargain 170/132,,,,3.1,0.0,0,176,5.519230769230769,2783.208395802099,-69.0,-69.0,10.0,HOLD
Mega Signal 171/132,,,,2.98,0.0,0,161,6.211538461538462,3094.5652173913045,-70.19999999999999,-70.19999999999999,10.0,HOLD
Mystery Garden 172/132,,,,6.03,0.0,0,170,7.5,2608.5950413223136,-39.699999999999996,-39.699999999999996,10.0,HOLD
Night Stretcher 173/132,,,,10.95,0.0,0,307,9.942307692307692,2788.442703232125,9.499999999999993,9.499999999999993,10.0,HOLD
Premium Power Pro 174/132,,,,5.86,0.0,0,195,7.5,3058.608573436402,-41.4,-41.4,10.0,HOLD
Rare Candy 175/132,,,,7.01,0.0,0,211,8.26923076923077,2755.2532123960696,-29.900000000000006,-29.900000000000006,10.0,HOLD
Wally's Compassion 176/132,,,,3.87,0.0,0,180,5.75,2672.509960159363,-61.3,-61.3,10.0,HOLD
Mega Venusaur ex 177/132,,,,222.41,0.0,0,37,1.7692307692307692,1823.4639337800552,2124.1,2124.1,10.0,SELL
Mega Gardevoir ex 178/132,,,,326.63,0.0,0,47,1.75,2752.70817801692,3166.3,3166.3,10.0,SELL
Mega Lucario ex 179/132,,,,276.49,0.0,0,40,1.5769230769230769,2622.718400554552,2664.9,2664.9,10.0,SELL
Mega Absol ex 180/132,,,,95.99,0.0,0,43,1.5961538461538463,2660.194372360454,859.9,859.9,10.0,SELL
Mega Latias ex 181/132,,,,189.67,0.0,0,44,1.4423076923076923,2786.068823730971,1796.6999999999998,1796.6999999999998,10.0,SELL
Mega Kangaskhan ex 182/132,,,,90.43,0.0,0,66,2.0576923076923075,2760.0041511000413,804.3000000000001,804.3000000000001,10.0,SELL
Acerola's Mischief 183/132,,,,55.85,0.0,0,48,1.5384615384615385,2794.46699246252,458.5,458.5,10.0,SELL
Lillie's Determination 184/132,,,,171.37,0.0,0,60,2.6153846153846154,1830.5945924148634,1613.7,1613.7,10.0,SELL
Lt. Surge's Bargain 185/132,,,,36.78,0.0,0,76,2.1538461538461537,2638.3069916956874,267.8,267.8,10.0,SELL
Wally's Compassion 186/132,,,,26.78,0.0,0,61,2.230769230769231,2632.59587020649,167.8,167.8,10.0,SELL
Mega Gardevoir ex 187/132,,,,517.63,0.0,0,30,0.6538461538461539,2649.287401574803,5076.3,5076.3,10.0,SELL
Mega Lucario ex 188/132,,,,661.81,0.0,0,28,0.8461538461538461,2867.054893237693,6518.099999999999,6518.099999999999,10.0,SELL
